cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj
2515500,Serra Branca,0  ,NE,PB,M,2026,14131,08874695000142
2515609,Serra da Raiz,0  ,NE,PB,M,2026,3156,08789737000147
2515708,Serra Grande,0  ,NE,PB,M,2026,3056,08891830000168
2515807,Serra Redonda,0  ,NE,PB,M,2026,6975,08868937000195
2515906,Serraria,0  ,NE,PB,M,2026,4754,08790172000118
2515930,Sertãozinho,0  ,NE,PB,M,2026,5332,01612771000100
2515971,Sobrado,0  ,NE,PB,M,2026,8646,01612553000168
2516003,Solânea,0  ,NE,PB,M,2026,27748,08787236000121
2516102,Soledade,0  ,NE,PB,M,2026,14409,08919425000100
2516151,Sossêgo,0  ,NE,PB,M,2026,3476,01613663000144
2516201,Sousa,0  ,NE,PB,M,2026,70066,08999674000153
2516300,Sumé,0  ,NE,PB,M,2026,17852,08874935000109
2516409,Tacima,0  ,NE,PB,M,2026,7794,08787392000192
2516508,Taperoá,0  ,NE,PB,M,2026,14358,08749525000136
2516607,Tavares,0  ,NE,PB,M,2026,14473,08944092000170
2516706,Teixeira,0  ,NE,PB,M,2026,15129,08883951000168
2516755,Tenório,0  ,NE,PB,M,2026,3082,01612649000126
2516805,Triunfo,0  ,NE,PB,M,2026,10315,08924060000102
2516904,Uiraúna,0  ,NE,PB,M,2026,15431,08924078000104
2517001,Umbuzeiro,0  ,NE,PB,M,2026,9274,08869489000144
2517100,Várzea,0  ,NE,PB,M,2026,2777,08884066000101
2517209,Vieirópolis,0  ,NE,PB,M,2026,4967,01613339000126
2517407,Zabelê,0  ,NE,PB,M,2026,2323,01612642000104
2500106,Água Branca,0  ,NE,PB,M,2026,9580,09145368000112
2500205,Aguiar,0  ,NE,PB,M,2026,5026,08939944000130
2500304,Alagoa Grande,0  ,NE,PB,M,2026,26655,08753204000105
2500403,Alagoa Nova,0  ,NE,PB,M,2026,21823,08700684000146
2500502,Alagoinha,0  ,NE,PB,M,2026,14140,08926263000138
2500536,Alcantil,0  ,NE,PB,M,2026,5806,01612470000179
2500577,Algodão de Jandaíra,0  ,NE,PB,M,2026,3143,01612471000113
2500601,Alhandra,0  ,NE,PB,M,2026,23065,08778318000100
2500700,São João do Rio do Peixe,0  ,NE,PB,M,2026,18500,08924029000171
2500734,Amparo,0  ,NE,PB,M,2026,2328,01612473000102
2500775,Aparecida,0  ,NE,PB,M,2026,8257,01613168000135
2500809,Araçagi,0  ,NE,PB,M,2026,16991,08778029000100
2500908,Arara,0  ,NE,PB,M,2026,12482,08778755000123
2501005,Araruna,0  ,NE,PB,M,2026,17360,08927105000100
2501104,Areia,0  ,NE,PB,M,2026,23031,08754111000103
2501153,Areia de Baraúnas,0  ,NE,PB,M,2026,2027,01612685000190
2501203,Areial,0  ,NE,PB,M,2026,7434,08701062000132
2501302,Aroeiras,0  ,NE,PB,M,2026,19142,08865636000108
2501351,Assunção,0  ,NE,PB,M,2026,4383,01612635000102
2501401,Baía da Traição,0  ,NE,PB,M,2026,9741,08894859000101
2501500,Bananeiras,0  ,NE,PB,M,2026,24134,08927915000159
2501534,Baraúna,0  ,NE,PB,M,2026,5010,01612512000171
2501575,Barra de Santana,0  ,NE,PB,M,2026,8247,01612535000186
2501609,Barra de Santa Rosa,0  ,NE,PB,M,2026,13024,08993925000192
2501708,Barra de São Miguel,0  ,NE,PB,M,2026,6123,08701708000181
2501807,Bayeux,0  ,NE,PB,M,2026,83862,08924581000160
2501906,Belém,0  ,NE,PB,M,2026,16710,08928517000157
2502003,Belém do Brejo do Cruz,0  ,NE,PB,M,2026,6272,08920126000196
2502052,Bernardino Batista,0  ,NE,PB,M,2026,3677,01621539000120
2502102,Boa Ventura,0  ,NE,PB,M,2026,5246,08940702000167
2502151,Boa Vista,0  ,NE,PB,M,2026,6592,01612538000110
2502201,Bom Jesus,0  ,NE,PB,M,2026,2328,08923989000117
2502300,Bom Sucesso,0  ,NE,PB,M,2026,4720,08920571000156
2502409,Bonito de Santa Fé,0  ,NE,PB,M,2026,10433,08924037000118
2502508,Boqueirão,0  ,NE,PB,M,2026,18216,08702573000179
2502607,Igaracy,0  ,NE,PB,M,2026,5719,08885139000171
2502706,Borborema,0  ,NE,PB,M,2026,4185,09070400000148
2502805,Brejo do Cruz,0  ,NE,PB,M,2026,14095,08767154000115
2502904,Brejo dos Santos,0  ,NE,PB,M,2026,5816,09164716000107
2503001,Caaporã,0  ,NE,PB,M,2026,21942,08865644000154
2503100,Cabaceiras,0  ,NE,PB,M,2026,5537,08702862000178
2503209,Cabedelo,0  ,NE,PB,M,2026,70734,09012493000154
2503308,Cachoeira dos Índios,0  ,NE,PB,M,2026,9335,08923997000163
2503407,Cacimba de Areia,0  ,NE,PB,M,2026,3344,08874984000141
2503506,Cacimba de Dentro,0  ,NE,PB,M,2026,16332,08929648000159
2503555,Cacimbas,0  ,NE,PB,M,2026,7513,01612686000134
2503605,Caiçara,0  ,NE,PB,M,2026,6684,09070624000150
2503704,Cajazeiras,0  ,NE,PB,M,2026,66585,08923971000115
2503753,Cajazeirinhas,0  ,NE,PB,M,2026,2760,01612687000189
2503803,Caldas Brandão,0  ,NE,PB,M,2026,5942,08809071000141
2503902,Camalaú,0  ,NE,PB,M,2026,6327,09073271000141
2504009,Campina Grande,0  ,NE,PB,M,2026,443911,08993917000146
2504033,Capim,0  ,NE,PB,M,2026,7446,01612304000172
2504074,Caraúbas,0  ,NE,PB,M,2026,4067,01612638000146
2504108,Carrapateira,0  ,NE,PB,M,2026,2365,08924003000123
2504157,Casserengue,0  ,NE,PB,M,2026,7052,01617975000126
2504207,Catingueira,0  ,NE,PB,M,2026,4556,08885287000196
2504306,Catolé do Rocha,0  ,NE,PB,M,2026,32288,09067562000127
2504355,Caturité,0  ,NE,PB,M,2026,5544,01612640000115
2504405,Conceição,0  ,NE,PB,M,2026,18731,08943227000182
2504504,Condado,0  ,NE,PB,M,2026,6629,09151473000164
2504603,Conde,0  ,NE,PB,M,2026,30007,08916645000180
2504702,Congo,0  ,NE,PB,M,2026,5124,08870164000181
2504801,Coremas,0  ,NE,PB,M,2026,14987,08939936000194
2504850,Coxixola,0  ,NE,PB,M,2026,1888,01612757000107
2504900,Cruz do Espírito Santo,0  ,NE,PB,M,2026,17821,08902934000120
2505006,Cubati,0  ,NE,PB,M,2026,7842,08732182000105
2505105,Cuité,0  ,NE,PB,M,2026,20208,08732174000150
2505204,Cuitegi,0  ,NE,PB,M,2026,6890,08781791000146
2505238,Cuité de Mamanguape,0  ,NE,PB,M,2026,6441,01612341000180
2505279,Curral de Cima,0  ,NE,PB,M,2026,5415,01612372000131
2505303,Curral Velho,0  ,NE,PB,M,2026,2316,08886947000153
2505352,Damião,0  ,NE,PB,M,2026,5141,01612636000157
2505402,Desterro,0  ,NE,PB,M,2026,8314,08925968000130
2505501,Vista Serrana,0  ,NE,PB,M,2026,3772,09151598000194
2505600,Diamante,0  ,NE,PB,M,2026,6416,08942229000157
2505709,Dona Inês,0  ,NE,PB,M,2026,10638,08782146000148
2505808,Duas Estradas,0  ,NE,PB,M,2026,3360,08787012000110
2505907,Emas,0  ,NE,PB,M,2026,3036,08944084000123
2506004,Esperança,0  ,NE,PB,M,2026,32599,08993909000108
2506103,Fagundes,0  ,NE,PB,M,2026,11307,08737694000156
2506202,Frei Martinho,0  ,NE,PB,M,2026,2911,08737785000191
2506251,Gado Bravo,0  ,NE,PB,M,2026,8398,01612651000103
2506301,Guarabira,0  ,NE,PB,M,2026,60057,08785479000120
2506400,Gurinhém,0  ,NE,PB,M,2026,14141,08809444000184
2506509,Gurjão,0  ,NE,PB,M,2026,3352,09073685000170
2506608,Ibiara,0  ,NE,PB,M,2026,5713,08943268000179
2506707,Imaculada,0  ,NE,PB,M,2026,10497,08883969000160
2506806,Ingá,0  ,NE,PB,M,2026,18234,08810350000125
2506905,Itabaiana,0  ,NE,PB,M,2026,23558,09072430000193
2507002,Itaporanga,0  ,NE,PB,M,2026,24766,08940694000159
2507101,Itapororoca,0  ,NE,PB,M,2026,19165,09165176000178
2507200,Itatuba,0  ,NE,PB,M,2026,10840,08865628000161
2507309,Jacaraú,0  ,NE,PB,M,2026,14969,08947699000103
2507408,Jericó,0  ,NE,PB,M,2026,7728,08931495000184
2507507,João Pessoa,1  ,NE,PB,M,2026,897633,08778326000156
2507606,Juarez Távora,0  ,NE,PB,M,2026,8088,08919490000136
2507705,Juazeirinho,0  ,NE,PB,M,2026,17520,08996886000187
2507804,Junco do Seridó,0  ,NE,PB,M,2026,7019,09084054000157
2507903,Juripiranga,0  ,NE,PB,M,2026,10255,08865933000153
2508000,Juru,0  ,NE,PB,M,2026,9380,08888950000106
2508109,Lagoa,0  ,NE,PB,M,2026,4489,09151796000158
2508208,Lagoa de Dentro,0  ,NE,PB,M,2026,8123,09071622000185
2508307,Lagoa Seca,0  ,NE,PB,M,2026,29209,08997611000168
2508406,Lastro,0  ,NE,PB,M,2026,3316,08999716000156
2508505,Livramento,0  ,NE,PB,M,2026,7041,08738916000155
2508554,Logradouro,0  ,NE,PB,M,2026,5107,01612986000113
2508604,Lucena,0  ,NE,PB,M,2026,13088,08924813000180
2508703,Mãe d'Água,0  ,NE,PB,M,2026,3599,09084088000141
2508802,Malta,0  ,NE,PB,M,2026,6288,09151861000145
2508901,Mamanguape,0  ,NE,PB,M,2026,46966,08898124000148
2509008,Manaíra,0  ,NE,PB,M,2026,10699,09148131000195
2509057,Marcação,0  ,NE,PB,M,2026,9537,01612351000116
2509107,Mari,0  ,NE,PB,M,2026,22170,08917106000166
2509156,Marizópolis,0  ,NE,PB,M,2026,7001,01612941000149
2509206,Massaranduba,0  ,NE,PB,M,2026,14756,08739138000119
2509305,Mataraca,0  ,NE,PB,M,2026,8650,08898256000170
2509339,Matinhas,0  ,NE,PB,M,2026,4759,01612641000160
2509370,Mato Grosso,0  ,NE,PB,M,2026,2584,01613316000111
2509396,Maturéia,0  ,NE,PB,M,2026,6717,01612689000178
2509404,Mogeiro,0  ,NE,PB,M,2026,14435,08866501000167
2509503,Montadas,0  ,NE,PB,M,2026,6144,08739351000120
2509602,Monte Horebe,0  ,NE,PB,M,2026,4429,08924011000170
2509701,Monteiro,0  ,NE,PB,M,2026,33886,09073628000191
2509800,Mulungu,0  ,NE,PB,M,2026,8909,08786865000137
2509909,Natuba,0  ,NE,PB,M,2026,8935,09072448000195
2510006,Nazarezinho,0  ,NE,PB,M,2026,7394,08999708000100
2510105,Nova Floresta,0  ,NE,PB,M,2026,9840,08739625000181
2510204,Nova Olinda,0  ,NE,PB,M,2026,5897,08889297000108
2510303,Nova Palmeira,0  ,NE,PB,M,2026,4359,08739930000173
2510402,Olho d'Água,0  ,NE,PB,M,2026,6059,08944076000187
2510501,Olivedos,0  ,NE,PB,M,2026,3675,08740102000155
2510600,Ouro Velho,0  ,NE,PB,M,2026,3000,08872459000197
2510659,Parari,0  ,NE,PB,M,2026,1745,01612532000142
2510709,Passagem,0  ,NE,PB,M,2026,2580,08876104000176
2510808,Patos,0  ,NE,PB,M,2026,108104,09084815000170
2510907,Paulista,0  ,NE,PB,M,2026,12172,08945727000153
2511004,Pedra Branca,0  ,NE,PB,M,2026,3851,08889826000165
2511103,Pedra Lavrada,0  ,NE,PB,M,2026,6980,08740466000135
2511202,Pedras de Fogo,0  ,NE,PB,M,2026,31356,09072455000197
2511301,Piancó,0  ,NE,PB,M,2026,17088,09148727000195
2511400,Picuí,0  ,NE,PB,M,2026,18862,08741399000173
2511509,Pilar,0  ,NE,PB,M,2026,12889,08867780000183
2511608,Pilões,0  ,NE,PB,M,2026,6974,08786626000187
2511707,Pilõezinhos,0  ,NE,PB,M,2026,5539,08788903000190
2511806,Pirpirituba,0  ,NE,PB,M,2026,9411,08789299000117
2511905,Pitimbu,0  ,NE,PB,M,2026,17166,08916785000159
2512002,Pocinhos,0  ,NE,PB,M,2026,18038,08741688000172
2512036,Poço Dantas,0  ,NE,PB,M,2026,3934,01615653000148
2512077,Poço de José de Moura,0  ,NE,PB,M,2026,4126,01615784000125
